"Story","Title","Result","Date","Stability","Duration (s)"
"Autenticación de usuario en la api","Autenticacion exitosa","SUCCESS","2021-05-26T10:54:31.591669-05:00[America/Bogota]","0.0","5.62"
"Autenticación de usuario en la api","Autenticacion con password incorrecto","SUCCESS","2021-05-26T10:54:37.2442041-05:00[America/Bogota]","0.0","0.1"
"Consultar citas","Consultar citas de un paciente","SUCCESS","2021-05-26T10:54:40.3612702-05:00[America/Bogota]","0.0","0.86"
"Consultar citas","Consultar citas con token invalido","SUCCESS","2021-05-26T10:54:41.2209677-05:00[America/Bogota]","0.0","0.09"
"Consultar un paciente","Consulta de paciente exitosa","SUCCESS","2021-05-26T10:54:41.4641444-05:00[America/Bogota]","0.0","0.82"
"Consultar un paciente","Consulta de paciente con token invalido","SUCCESS","2021-05-26T10:54:42.2998269-05:00[America/Bogota]","0.0","0.24"
"Consultar un paciente","Consulta de paciente no registrado","SUCCESS","2021-05-26T10:54:42.5356747-05:00[America/Bogota]","0.0","0.31"
"Crear una cita","Cracion de cita exitosa","SUCCESS","2021-05-26T10:54:43.0352017-05:00[America/Bogota]","0.0","0.27"
"Crear una cita","Cracion de cita con token invalido","SUCCESS","2021-05-26T10:54:43.3038671-05:00[America/Bogota]","0.0","0.08"
"Crear una cita","Cracion de cita con documento invalido","SUCCESS","2021-05-26T10:54:43.5956974-05:00[America/Bogota]","0.0","0.14"
"Eliminar un paciente","Eliminacion de paciente exitosa","SUCCESS","2021-05-26T10:54:43.9740334-05:00[America/Bogota]","0.0","0.38"
"Eliminar un paciente","Eliminacion de paciente con documento invalido","SUCCESS","2021-05-26T10:54:44.3625474-05:00[America/Bogota]","0.0","0.6"
"Eliminar un paciente","Eliminacion de paciente con token invalido","SUCCESS","2021-05-26T10:54:44.9628241-05:00[America/Bogota]","0.0","0.2"
"Administrar información de pacientes","Creacion de paciente exitosa","SUCCESS","2021-05-26T10:54:45.3046805-05:00[America/Bogota]","0.0","0.16"
"Administrar información de pacientes","Creacion de paciente sin token de autenticacion valido","SUCCESS","2021-05-26T10:54:45.4841591-05:00[America/Bogota]","0.0","0.05"
